,acc,prec,rec,f1,roc_auc,confusion_matrix
SVM_RBF,0.9129417271238006,0.9375154971485247,0.8848584132927686,0.9104261979292078,0.9603377687216752,"[[4021, 252], [492, 3781]]"
SVM_LINEAR,0.8602855136906155,0.8936333418563027,0.8179265153288088,0.8541055718475073,0.9155737025693581,"[[3857, 416], [778, 3495]]"
RandomForest,0.9269833840393167,0.9483902678790858,0.9031125672829394,0.9251977942939343,0.9749963701895155,"[[4063, 210], [414, 3859]]"
KNN,0.9048677743973789,0.9670626349892009,0.838286917856307,0.8980819857089132,0.9530660985887744,"[[4151, 122], [691, 3582]]"
LogisticRegression,0.8545518371167797,0.8761171797418074,0.8258834542476012,0.850259004939164,0.9157342850565892,"[[3774, 499], [744, 3529]]"
